forecast_time,issue_time,,
2018-08-29T00:00:00.0,2018-08-28T12:00:00.0,1,
2018-08-29T01:00:00.0,2018-08-28T12:00:00.0,2,
2018-08-29T02:00:00.0,2018-08-28T12:00:00.0,3,
2018-08-29T03:00:00.0,2018-08-28T12:00:00.0,4,
2018-08-29T04:00:00.0,2018-08-28T12:00:00.0,5,
2018-08-29T05:00:00.0,2018-08-28T12:00:00.0,6,
2018-08-29T06:00:00.0,2018-08-28T12:00:00.0,7,
2018-08-29T07:00:00.0,2018-08-28T12:00:00.0,8,
2018-08-29T08:00:00.0,2018-08-28T12:00:00.0,9,
2018-08-29T09:00:00.0,2018-08-28T12:00:00.0,10,
2018-08-29T10:00:00.0,2018-08-28T12:00:00.0,11,
2018-08-29T11:00:00.0,2018-08-28T12:00:00.0,12,
2018-08-29T12:00:00.0,2018-08-28T12:00:00.0,13,
2018-08-29T13:00:00.0,2018-08-28T12:00:00.0,14,
2018-08-29T14:00:00.0,2018-08-28T12:00:00.0,15,
2018-08-29T15:00:00.0,2018-08-28T12:00:00.0,16,
2018-08-29T16:00:00.0,2018-08-28T12:00:00.0,17,
2018-08-29T17:00:00.0,2018-08-28T12:00:00.0,18,
2018-08-29T18:00:00.0,2018-08-28T12:00:00.0,19,
2018-08-29T19:00:00.0,2018-08-28T12:00:00.0,20,
2018-08-29T20:00:00.0,2018-08-28T12:00:00.0,21,
2018-08-29T21:00:00.0,2018-08-28T12:00:00.0,22,
2018-08-29T22:00:00.0,2018-08-28T12:00:00.0,23,
2018-08-29T23:00:00.0,2018-08-28T12:00:00.0,24,1
2018-08-30T00:00:00.0,2018-08-28T12:00:00.0,25,2
2018-08-30T01:00:00.0,2018-08-28T12:00:00.0,26,3
2018-08-30T02:00:00.0,2018-08-28T12:00:00.0,27,4
2018-08-30T03:00:00.0,2018-08-28T12:00:00.0,28,5
2018-08-30T04:00:00.0,2018-08-28T12:00:00.0,29,6
2018-08-30T05:00:00.0,2018-08-28T12:00:00.0,30,7
2018-08-30T06:00:00.0,2018-08-28T12:00:00.0,31,8
2018-08-30T07:00:00.0,2018-08-28T12:00:00.0,32,9
2018-08-30T08:00:00.0,2018-08-28T12:00:00.0,33,10
2018-08-30T09:00:00.0,2018-08-28T12:00:00.0,34,11
2018-08-30T10:00:00.0,2018-08-28T12:00:00.0,35,12
2018-08-30T11:00:00.0,2018-08-28T12:00:00.0,36,13
2018-08-30T12:00:00.0,2018-08-28T12:00:00.0,37,14
2018-08-30T13:00:00.0,2018-08-28T12:00:00.0,38,15
2018-08-30T14:00:00.0,2018-08-28T12:00:00.0,39,16
2018-08-30T15:00:00.0,2018-08-28T12:00:00.0,40,17
2018-08-30T16:00:00.0,2018-08-28T12:00:00.0,41,18
2018-08-30T17:00:00.0,2018-08-28T12:00:00.0,42,19
2018-08-30T18:00:00.0,2018-08-28T12:00:00.0,43,20
2018-08-30T19:00:00.0,2018-08-28T12:00:00.0,44,21
2018-08-30T20:00:00.0,2018-08-28T12:00:00.0,45,22
2018-08-30T21:00:00.0,2018-08-28T12:00:00.0,46,23
2018-08-30T22:00:00.0,2018-08-28T12:00:00.0,47,24
2018-08-30T23:00:00.0,2018-08-28T12:00:00.0,48,25
